2.425783 0.134696 14.173508
0.677690 9.931269 59.969029
0.318338 0.309355 12.739108
5.913297 4.787787 48.110565
7.356527 1.150532 34.696236
6.383000 9.082105 69.766385
3.774940 5.416201 46.430998
0.129019 8.424973 50.404389
0.536072 9.767476 58.320725
1.442138 8.006622 54.476668
1.834057 4.997602 39.754724
4.507703 0.957919 26.186122
6.806704 0.266693 27.790995
0.979601 4.154100 30.680200
7.785344 8.284933 71.087364
6.028455 0.242644 26.510881
8.061091 2.748771 48.261675
7.772762 6.808375 67.671363
7.054247 0.737512 34.246803
4.180650 4.187768 41.810279
2.400622 7.262112 48.390720
2.239132 3.095880 27.816368
8.075394 3.147364 46.705363
9.963487 6.328673 68.883961
8.341286 1.994428 41.753969
1.979112 2.931975 26.982002
3.092200 0.606627 19.067087
1.159449 6.855453 48.100906
1.361336 9.978002 57.798262
5.229750 6.413393 56.614317
6.805304 6.749784 62.824522
5.303693 9.176107 66.685885
4.718157 8.065783 60.539947
8.131174 0.641685 32.257366
9.029151 2.945014 47.199883
8.212199 2.427745 43.168861
3.561794 3.079905 30.630436
8.865166 6.840321 69.895881
6.865034 0.633160 27.336150
4.189430 1.747934 29.017796
